dma2_name,dma1_name,chan1_name,sales1_name,all_name,curvegroup_name,cpp,a,b
Medium Stores High Loyalty,DETROIT-MI,Midweek,Total Sales,overall,weekly,1,34030.28533,0.000259599
Medium Stores High Loyalty,GRD RPD KMZ-MI,Midweek,Total Sales,overall,weekly,1,11926.84291,0.000882727
High Stores High Loyalty,CHICAGO-IL,Midweek,Total Sales,overall,weekly,1,57194.58597,0.000201911
Medium Stores Low Loyalty,DALLAS-TX,Midweek,Total Sales,overall,weekly,1,28694.71619,0.000321321
Medium Stores High Loyalty,MILWAUKEE-WI,Midweek,Total Sales,overall,weekly,1,26265.56688,0.000490958
Medium Stores High Loyalty,MINNEAPOLIS-MN,Midweek,Total Sales,overall,weekly,1,25796.81159,0.000392502
Medium Stores High Loyalty,INDIANAPOLIS-IN,Midweek,Total Sales,overall,weekly,1,21432.28319,0.000499833
Medium Stores High Loyalty,COLUMBUS-OH,Midweek,Total Sales,overall,weekly,1,15286.21723,0.000798436
Medium Stores High Loyalty,ST. LOUIS-MO,Midweek,Total Sales,overall,weekly,1,12983.58593,0.000555684
Medium Stores Low Loyalty,ATLANTA-GA,Midweek,Total Sales,overall,weekly,1,18689.29486,0.000527041
Medium Stores High Loyalty,PHILADELPHIA-PA,Midweek,Total Sales,overall,weekly,1,24088.86534,0.000235784
Medium Stores High Loyalty,CLEVELAND-OH,Midweek,Total Sales,overall,weekly,1,30981.54364,0.000325116
Medium Stores High Loyalty,NEW HAVEN/HARTD-CT,Midweek,Total Sales,overall,weekly,1,12279.84169,0.00066019
Medium Stores High Loyalty,BALTIMORE-MD,Midweek,Total Sales,overall,weekly,1,10183.04225,0.000934714
Medium Stores High Loyalty,HBG/LANCAST-PA,Midweek,Total Sales,overall,weekly,1,6790.78577,0.000818041
Medium Stores Low Loyalty,SALT LAKE CITY-UT,Midweek,Total Sales,overall,weekly,1,8481.18787,0.000992605
High Stores High Loyalty,LOS ANGELES-CA,Midweek,Total Sales,overall,weekly,1,55220.09088,0.000170069
Medium Stores Low Loyalty,CHARLOTTE-NC,Midweek,Total Sales,overall,weekly,1,9194.581654,0.000964948
